,Question,choice 1,choice 2,choice 3,choice 4
7896,What is a good result of losing weight?,increased energy,healthier,loose skin,beauty
7897,A person lived in my what?,demonstration,conference,building,garage
7898,"The skin was cut while chopping onions, where was this skin likely cut?",good health,finger,meat,body
7899,What might you feel after doing housework for hours?,anger,not boredom,stress,boredom
7900,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at
7901,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment
7902,To locate a choker not located in a jewelry box or boutique where would you go?,jewelry store,neck,jewlery box,jewelry box
7903,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas
7904,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook
7905,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television
7906,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",garbage can,military,jewelry store,safe
7907,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge
7908,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer
7909,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector
7910,Where do you put your grapes just before checking out?,mouth,grocery cart,super market,fruit basket
7911,"Before getting a divorce, what did the wife feel who was doing all the work?",harder,anguish,bitterness,tears
7912,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym
7913,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat,revenge,expansion,relaxation
7914,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room
7915,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands,new york,forest,louisiana
7916,What is it called when you slowly cook using a grill?,backyard,restaurant,crockpot,neighbor's house
7917,What type of person typically contracts illness?,hospital,head,sick person,elderly person
7918,Where would you expect to find a pizzeria while shopping?,chicago,street,little italy,food court
7919,"When eating everything on the tasting menu, what does one tend to feel?",full stomach,getting full,gaining weight,sick
7920,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting
7921,Which entrance would you use if you do not want to use the back entrance?,side,main,anterior,current
7922,You can share files with someone if you have a connection to a what?,freeway,radio,wires,computer network
7923,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car,fuel system,accelerate,boat
7924,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",the reward money,hurt feelings,being found out,problems
7925,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",park,make time for,receive instructions,take money
7926,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",walk,lay down,working,moving
7927,Too many people want exotic snakes.  The demand is driving what to carry them?,ditch,shop,north america,pet shops
7928,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time
7929,To prevent any glare during the big football game he made sure to clean the dust of his what?,television,attic,corner,they cannot clean corner and library during football match they cannot need that
7930,"I have something in my head I want to share, what ways can I do that?",write an essay,organize thoughts,speak information,summarize main points
7931,"He wanted a house that was gated off from other places, where should he start looking?",neighborhood,subdivision,city,suburbs
7932,Where in Southern Europe would you find many canals?,michigan,new york,amsterdam,venice
7933,What would a camper need to do before he or she can start cooking food?,make breakfast,go hiking,pack or bag,light fire
7934,What could happen to a paper if you leave it outside even if it does not move?,one material often recycled,ripped,saturated with water,one dimensional
7935,"Mark's semen was very thick, but after his vasectomy it was also what?",blank,sparse,thin,clear
7936,What is a great place to lay in the sun?,in the basement,west,solar system,beach
7937,Where would you find a seafood restaurant in the east coast of North America?,maine,boston,beach town,coastal cities
7938,The president is the leader of what institution?,walmart,white house,country,corporation
7939,Sitting to close while watching TV can cause what sort of pain?,brain problems,laziness,get fat,headache
7940,Where is a bald eagle safe?,pine tree,open country,in washington,wildlife refuge
7941,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",costly,captive,contained,paying
7942,What kind of driving leads to accidents?,stressful,dangerous,fun,illegal
7943,What is eating too much dinner likely to result in?,tiredness,living longer,stomach ache,illness
7944,What is a person chatting with friends likely hoping to accomplish?,gathering of information,communication,feel relaxed,kill boredom
7945,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland,snow,windowsill,street
7946,"A fox was thirsty searching for water during the drought, where was he?",painting,hen house,california,virginia
7947,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips
7948,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",near,closeness,here,proximity
7949,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight,late for work,heartburn,bad breath
7950,"The evacuation became mandatory, so what came on the TV?",advisory,mandate,soap opera,elective
7951,The person gave a good hands on what to show how to do the work?,demonstration,garage,building,barn
7952,Where would you see some people doing jumping jacks?,military base,opera,water fountain,bus stop
7953,"The body guard was good at his duties, he made the person who hired him what?",better job,irritated,feel safe,save money
7954,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication,overthinking,frustration,misunderstandings
7955,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail,going to prison,beat him up,get arrested
7956,Where is there usually a fiddle playing?,music store,dance hall,orchestra,symphony
7957,What is the only was to recover from exhaustion?,mediate,have rest,stay in bed,run out of steam
7958,What would you do if you want to be able to earn money?,apply for job,stand in line,take care of proposals,pass course
7959,What is a grumpy person likely to have?,headache,understand themselves,compliments,own house
7960,What do drugs do?,damage,cloud mind,lower i.q,cause illness
7961,A beaver can destroy a machines functionality if they build their dam in this?,strip club,pocket,millpond,ontario
7962,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement,suicide,examine thing,commit murder
7963,Where could a fungus grow and not be disturbed by sunlight?,under rocks,manhattan,toenails,grocery store
7964,Can you name a good reason for attending school?,get smart,boredom,colds and flu,taking tests
7965,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store
7966,"Though she made the cut years ago, its figurative scars would never what?",joining,put together,stitch,heal
7967,What does sex often make happen in people?,making love,feel good,happyness,wonderful thing
7968,Where would you see people in uniform playing with a ball?,hole,television,sporting goods store,pool table
7969,What kind of place could have a seafood restaurant?,new york,coastal cities,city,coastal cities
7970,Who was the head of the branch yelling at?,owner,foot,subordinate,base
7971,"He made another call, he did this all day hoping people would what well to his offer?",hang up,respond,contact,answer
7972,"She needs to visit a bookshop after buying the latest fashion, where should she look?",student union,mall,department store,library
7973,Where could you see an advertisement while reading news?,television,bus,email,web page
7974,What is required to be good at playing tennis?,tennis racket,skill,competition,tennis court
7975,What state is the John Davis  Lodge toll road found in?,new jersey,eastern united states,good repair,connecticut
7976,"The man went to clown college, he had always want to run away with the what?",circus,carnival,surprise,spoons
7977,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?",gain weight,augment,dispare,make larger
7978,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,death,coma,peace,forgetfulness
7979,"If someone is aloof and self-important, what is their experience when meeting people?",stress,nervousness,smile,being bored
7980,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",factory,construction site,engine,insides of skyscraper's walls
7981,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,static,train of thought.,progress,transfer of information
7982,When you play around with your dog they will have?,alive,health,fun,playing dead
7983,Where would a person keep a book while it's being read?,closet,library of congress,classroom,in bed
7984,"The student needed to  get some new pencils, where did he go?",store,classroom,backpack,cabinet
7985,"She loved buying products, she was driven by her what to shop more than any practical needs?",desire,money,time,credit
7986,How does getting paid feel?,income tax,satisfaction,sorrow,ocean
7987,"The fat man refused to accept what was possible, he complained that he what the simplest activities?",no go,unlikely,unable,cant do
7988,Where can meat last a long time?,backery,ham sandwich,fridge,butcher shop
7989,What group of musicians will include someone playing the cello?,ocean,symphony,band,music store
7990,Where do bees congregate with red flowerS?,trash can,honey,bouquet of flowers,rose garden
7991,What is someone who gets angry after getting drunk likely to participate in?,violence,falling down,vomiting,vomiting
7992,"The teacher told all the students that listening was key, it was the main way they would gain what?",empathy,anxiety,knowlege,falling down
7993,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,reality,imagination,dreamworker,nightmare
7994,The city's community garden was demolished for yet another what?,wasteland,ocean,desert,parking lot
7995,WHat do cats get into when they are ripping things apart?,dog's mouth,floor,garage,trouble
7996,What is a good result of losing weight?,increased energy,healthier,loose skin,beauty
7997,A person lived in my what?,demonstration,conference,building,garage
7998,"The skin was cut while chopping onions, where was this skin likely cut?",good health,finger,meat,body
7999,What might you feel after doing housework for hours?,anger,not boredom,stress,boredom
8000,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at
8001,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment
8002,To locate a choker not located in a jewelry box or boutique where would you go?,jewelry store,neck,jewlery box,jewelry box
8003,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas
8004,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook
8005,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television
8006,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",garbage can,military,jewelry store,safe
8007,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge
8008,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer
8009,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector
8010,Where do you put your grapes just before checking out?,mouth,grocery cart,super market,fruit basket
8011,"Before getting a divorce, what did the wife feel who was doing all the work?",harder,anguish,bitterness,tears
8012,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym
8013,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat,revenge,expansion,relaxation
8014,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room
8015,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands,new york,forest,louisiana
8016,What is it called when you slowly cook using a grill?,backyard,restaurant,crockpot,neighbor's house
8017,What type of person typically contracts illness?,hospital,head,sick person,elderly person
8018,Where would you expect to find a pizzeria while shopping?,chicago,street,little italy,food court
8019,"When eating everything on the tasting menu, what does one tend to feel?",full stomach,getting full,gaining weight,sick
8020,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting
8021,Which entrance would you use if you do not want to use the back entrance?,side,main,anterior,current
8022,You can share files with someone if you have a connection to a what?,freeway,radio,wires,computer network
8023,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car,fuel system,accelerate,boat
8024,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",the reward money,hurt feelings,being found out,problems
8025,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",park,make time for,receive instructions,take money
8026,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",walk,lay down,working,moving
8027,Too many people want exotic snakes.  The demand is driving what to carry them?,ditch,shop,north america,pet shops
8028,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time
8029,To prevent any glare during the big football game he made sure to clean the dust of his what?,television,attic,corner,they cannot clean corner and library during football match they cannot need that
8030,"I have something in my head I want to share, what ways can I do that?",write an essay,organize thoughts,speak information,summarize main points
8031,"He wanted a house that was gated off from other places, where should he start looking?",neighborhood,subdivision,city,suburbs
8032,Where in Southern Europe would you find many canals?,michigan,new york,amsterdam,venice
8033,What would a camper need to do before he or she can start cooking food?,make breakfast,go hiking,pack or bag,light fire
8034,What could happen to a paper if you leave it outside even if it does not move?,one material often recycled,ripped,saturated with water,one dimensional
8035,"Mark's semen was very thick, but after his vasectomy it was also what?",blank,sparse,thin,clear
8036,What is a great place to lay in the sun?,in the basement,west,solar system,beach
8037,Where would you find a seafood restaurant in the east coast of North America?,maine,boston,beach town,coastal cities
8038,The president is the leader of what institution?,walmart,white house,country,corporation
8039,Sitting to close while watching TV can cause what sort of pain?,brain problems,laziness,get fat,headache
8040,Where is a bald eagle safe?,pine tree,open country,in washington,wildlife refuge
8041,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",costly,captive,contained,paying
8042,What kind of driving leads to accidents?,stressful,dangerous,fun,illegal
8043,What is eating too much dinner likely to result in?,tiredness,living longer,stomach ache,illness
8044,What is a person chatting with friends likely hoping to accomplish?,gathering of information,communication,feel relaxed,kill boredom
8045,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland,snow,windowsill,street
8046,"A fox was thirsty searching for water during the drought, where was he?",painting,hen house,california,virginia
8047,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips
8048,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",near,closeness,here,proximity
8049,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight,late for work,heartburn,bad breath
8050,"The evacuation became mandatory, so what came on the TV?",advisory,mandate,soap opera,elective
8051,The person gave a good hands on what to show how to do the work?,demonstration,garage,building,barn
8052,Where would you see some people doing jumping jacks?,military base,opera,water fountain,bus stop
8053,"The body guard was good at his duties, he made the person who hired him what?",better job,irritated,feel safe,save money
8054,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication,overthinking,frustration,misunderstandings
8055,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail,going to prison,beat him up,get arrested
8056,Where is there usually a fiddle playing?,music store,dance hall,orchestra,symphony
8057,What is the only was to recover from exhaustion?,mediate,have rest,stay in bed,run out of steam
8058,What would you do if you want to be able to earn money?,apply for job,stand in line,take care of proposals,pass course
8059,What is a grumpy person likely to have?,headache,understand themselves,compliments,own house
8060,What do drugs do?,damage,cloud mind,lower i.q,cause illness
8061,A beaver can destroy a machines functionality if they build their dam in this?,strip club,pocket,millpond,ontario
8062,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement,suicide,examine thing,commit murder
8063,Where could a fungus grow and not be disturbed by sunlight?,under rocks,manhattan,toenails,grocery store
8064,Can you name a good reason for attending school?,get smart,boredom,colds and flu,taking tests
8065,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store
8066,"Though she made the cut years ago, its figurative scars would never what?",joining,put together,stitch,heal
8067,What does sex often make happen in people?,making love,feel good,happyness,wonderful thing
8068,Where would you see people in uniform playing with a ball?,hole,television,sporting goods store,pool table
8069,What kind of place could have a seafood restaurant?,new york,coastal cities,city,coastal cities
8070,Who was the head of the branch yelling at?,owner,foot,subordinate,base
8071,"He made another call, he did this all day hoping people would what well to his offer?",hang up,respond,contact,answer
8072,"She needs to visit a bookshop after buying the latest fashion, where should she look?",student union,mall,department store,library
8073,Where could you see an advertisement while reading news?,television,bus,email,web page
8074,What is required to be good at playing tennis?,tennis racket,skill,competition,tennis court
8075,What state is the John Davis  Lodge toll road found in?,new jersey,eastern united states,good repair,connecticut
8076,"The man went to clown college, he had always want to run away with the what?",circus,carnival,surprise,spoons
8077,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?",gain weight,augment,dispare,make larger
8078,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,death,coma,peace,forgetfulness
8079,"If someone is aloof and self-important, what is their experience when meeting people?",stress,nervousness,smile,being bored
8080,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",factory,construction site,engine,insides of skyscraper's walls
8081,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,static,train of thought.,progress,transfer of information
8082,When you play around with your dog they will have?,alive,health,fun,playing dead
8083,Where would a person keep a book while it's being read?,closet,library of congress,classroom,in bed
8084,"The student needed to  get some new pencils, where did he go?",store,classroom,backpack,cabinet
8085,"She loved buying products, she was driven by her what to shop more than any practical needs?",desire,money,time,credit
8086,How does getting paid feel?,income tax,satisfaction,sorrow,ocean
8087,"The fat man refused to accept what was possible, he complained that he what the simplest activities?",no go,unlikely,unable,cant do
8088,Where can meat last a long time?,backery,ham sandwich,fridge,butcher shop
8089,What group of musicians will include someone playing the cello?,ocean,symphony,band,music store
8090,Where do bees congregate with red flowerS?,trash can,honey,bouquet of flowers,rose garden
8091,What is someone who gets angry after getting drunk likely to participate in?,violence,falling down,vomiting,vomiting
8092,"The teacher told all the students that listening was key, it was the main way they would gain what?",empathy,anxiety,knowlege,falling down
8093,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,reality,imagination,dreamworker,nightmare
8094,The city's community garden was demolished for yet another what?,wasteland,ocean,desert,parking lot
8095,WHat do cats get into when they are ripping things apart?,dog's mouth,floor,garage,trouble
8096,What is a good result of losing weight?,increased energy,healthier,loose skin,beauty
8097,A person lived in my what?,demonstration,conference,building,garage
8098,"The skin was cut while chopping onions, where was this skin likely cut?",good health,finger,meat,body
8099,What might you feel after doing housework for hours?,anger,not boredom,stress,boredom
8100,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at
8101,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment
8102,To locate a choker not located in a jewelry box or boutique where would you go?,jewelry store,neck,jewlery box,jewelry box
8103,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas
8104,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook
8105,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television
8106,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",garbage can,military,jewelry store,safe
8107,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge
8108,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer
8109,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector
8110,Where do you put your grapes just before checking out?,mouth,grocery cart,super market,fruit basket
8111,"Before getting a divorce, what did the wife feel who was doing all the work?",harder,anguish,bitterness,tears
8112,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym
8113,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat,revenge,expansion,relaxation
8114,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room
8115,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands,new york,forest,louisiana
8116,What is it called when you slowly cook using a grill?,backyard,restaurant,crockpot,neighbor's house
8117,What type of person typically contracts illness?,hospital,head,sick person,elderly person
8118,Where would you expect to find a pizzeria while shopping?,chicago,street,little italy,food court
8119,"When eating everything on the tasting menu, what does one tend to feel?",full stomach,getting full,gaining weight,sick
8120,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting
8121,Which entrance would you use if you do not want to use the back entrance?,side,main,anterior,current
8122,You can share files with someone if you have a connection to a what?,freeway,radio,wires,computer network
8123,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car,fuel system,accelerate,boat
8124,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",the reward money,hurt feelings,being found out,problems
8125,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",park,make time for,receive instructions,take money
8126,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",walk,lay down,working,moving
8127,Too many people want exotic snakes.  The demand is driving what to carry them?,ditch,shop,north america,pet shops
8128,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time
8129,To prevent any glare during the big football game he made sure to clean the dust of his what?,television,attic,corner,they cannot clean corner and library during football match they cannot need that
8130,"I have something in my head I want to share, what ways can I do that?",write an essay,organize thoughts,speak information,summarize main points
8131,"He wanted a house that was gated off from other places, where should he start looking?",neighborhood,subdivision,city,suburbs
8132,Where in Southern Europe would you find many canals?,michigan,new york,amsterdam,venice
8133,What would a camper need to do before he or she can start cooking food?,make breakfast,go hiking,pack or bag,light fire
8134,What could happen to a paper if you leave it outside even if it does not move?,one material often recycled,ripped,saturated with water,one dimensional
8135,"Mark's semen was very thick, but after his vasectomy it was also what?",blank,sparse,thin,clear
8136,What is a great place to lay in the sun?,in the basement,west,solar system,beach
8137,Where would you find a seafood restaurant in the east coast of North America?,maine,boston,beach town,coastal cities
8138,The president is the leader of what institution?,walmart,white house,country,corporation
8139,Sitting to close while watching TV can cause what sort of pain?,brain problems,laziness,get fat,headache
8140,Where is a bald eagle safe?,pine tree,open country,in washington,wildlife refuge
8141,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",costly,captive,contained,paying
8142,What kind of driving leads to accidents?,stressful,dangerous,fun,illegal
8143,What is eating too much dinner likely to result in?,tiredness,living longer,stomach ache,illness
8144,What is a person chatting with friends likely hoping to accomplish?,gathering of information,communication,feel relaxed,kill boredom
8145,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland,snow,windowsill,street
8146,"A fox was thirsty searching for water during the drought, where was he?",painting,hen house,california,virginia
8147,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips
8148,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",near,closeness,here,proximity
8149,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight,late for work,heartburn,bad breath
8150,"The evacuation became mandatory, so what came on the TV?",advisory,mandate,soap opera,elective
8151,The person gave a good hands on what to show how to do the work?,demonstration,garage,building,barn
8152,Where would you see some people doing jumping jacks?,military base,opera,water fountain,bus stop
8153,"The body guard was good at his duties, he made the person who hired him what?",better job,irritated,feel safe,save money
8154,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication,overthinking,frustration,misunderstandings
8155,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail,going to prison,beat him up,get arrested
8156,Where is there usually a fiddle playing?,music store,dance hall,orchestra,symphony
8157,What is the only was to recover from exhaustion?,mediate,have rest,stay in bed,run out of steam
8158,What would you do if you want to be able to earn money?,apply for job,stand in line,take care of proposals,pass course
8159,What is a grumpy person likely to have?,headache,understand themselves,compliments,own house
8160,What do drugs do?,damage,cloud mind,lower i.q,cause illness
8161,A beaver can destroy a machines functionality if they build their dam in this?,strip club,pocket,millpond,ontario
8162,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement,suicide,examine thing,commit murder
8163,Where could a fungus grow and not be disturbed by sunlight?,under rocks,manhattan,toenails,grocery store
8164,Can you name a good reason for attending school?,get smart,boredom,colds and flu,taking tests
8165,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store
8166,"Though she made the cut years ago, its figurative scars would never what?",joining,put together,stitch,heal
8167,What does sex often make happen in people?,making love,feel good,happyness,wonderful thing
8168,Where would you see people in uniform playing with a ball?,hole,television,sporting goods store,pool table
8169,What kind of place could have a seafood restaurant?,new york,coastal cities,city,coastal cities
8170,Who was the head of the branch yelling at?,owner,foot,subordinate,base
8171,"He made another call, he did this all day hoping people would what well to his offer?",hang up,respond,contact,answer
8172,"She needs to visit a bookshop after buying the latest fashion, where should she look?",student union,mall,department store,library
8173,Where could you see an advertisement while reading news?,television,bus,email,web page
8174,What is required to be good at playing tennis?,tennis racket,skill,competition,tennis court
8175,What state is the John Davis  Lodge toll road found in?,new jersey,eastern united states,good repair,connecticut
8176,"The man went to clown college, he had always want to run away with the what?",circus,carnival,surprise,spoons
8177,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?",gain weight,augment,dispare,make larger
8178,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,death,coma,peace,forgetfulness
8179,"If someone is aloof and self-important, what is their experience when meeting people?",stress,nervousness,smile,being bored
8180,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",factory,construction site,engine,insides of skyscraper's walls
8181,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,static,train of thought.,progress,transfer of information
8182,When you play around with your dog they will have?,alive,health,fun,playing dead
8183,Where would a person keep a book while it's being read?,closet,library of congress,classroom,in bed
8184,"The student needed to  get some new pencils, where did he go?",store,classroom,backpack,cabinet
8185,"She loved buying products, she was driven by her what to shop more than any practical needs?",desire,money,time,credit
8186,How does getting paid feel?,income tax,satisfaction,sorrow,ocean
8187,"The fat man refused to accept what was possible, he complained that he what the simplest activities?",no go,unlikely,unable,cant do
8188,Where can meat last a long time?,backery,ham sandwich,fridge,butcher shop
8189,What group of musicians will include someone playing the cello?,ocean,symphony,band,music store
8190,Where do bees congregate with red flowerS?,trash can,honey,bouquet of flowers,rose garden
8191,What is someone who gets angry after getting drunk likely to participate in?,violence,falling down,vomiting,vomiting
8192,"The teacher told all the students that listening was key, it was the main way they would gain what?",empathy,anxiety,knowlege,falling down
8193,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,reality,imagination,dreamworker,nightmare
8194,The city's community garden was demolished for yet another what?,wasteland,ocean,desert,parking lot
8195,WHat do cats get into when they are ripping things apart?,dog's mouth,floor,garage,trouble
8196,What is a good result of losing weight?,increased energy,healthier,loose skin,beauty
8197,A person lived in my what?,demonstration,conference,building,garage
8198,"The skin was cut while chopping onions, where was this skin likely cut?",good health,finger,meat,body
8199,What might you feel after doing housework for hours?,anger,not boredom,stress,boredom
8200,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at
8201,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment
8202,To locate a choker not located in a jewelry box or boutique where would you go?,jewelry store,neck,jewlery box,jewelry box
8203,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas
8204,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook
8205,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television
8206,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",garbage can,military,jewelry store,safe
8207,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge
8208,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer
8209,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector
8210,Where do you put your grapes just before checking out?,mouth,grocery cart,super market,fruit basket
8211,"Before getting a divorce, what did the wife feel who was doing all the work?",harder,anguish,bitterness,tears
8212,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym
8213,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat,revenge,expansion,relaxation
8214,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room
8215,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands,new york,forest,louisiana
8216,What is it called when you slowly cook using a grill?,backyard,restaurant,crockpot,neighbor's house
8217,What type of person typically contracts illness?,hospital,head,sick person,elderly person
8218,Where would you expect to find a pizzeria while shopping?,chicago,street,little italy,food court
8219,"When eating everything on the tasting menu, what does one tend to feel?",full stomach,getting full,gaining weight,sick
8220,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting
8221,Which entrance would you use if you do not want to use the back entrance?,side,main,anterior,current
8222,You can share files with someone if you have a connection to a what?,freeway,radio,wires,computer network
