,Question,Answer,option2,option4,option3
1065,What was Maynard Ferguson noted for being able to play accurately?,yes,both a and b,No,ALL
1066,What was Maynard Ferguson noted for being able to play accurately?,yes,both a and c,No,20
1067,What was built to play in both B and A keys?,piccolo trumpets,both c and b,Google,Yes
1068,What was built to play in both B and A keys?,piccolo trumpets,all,maybe,TRUE
1069,What happened in 1894?,"Jean-Baptiste Arban published ""Complete Conservatory Method for Trumpet.""",both a and c,TRUE,20
1070,What happened in nineteen fifty seven?,Maynard Ferguson formed his own band.,None of above,20,Happy
1071,Is the Breeze Eazy' ' method sometimes used to teach younger students?,Yes.,None of above,Github,Yes
1072,Do many players use a smaller mouthpiece on the piccolo trumpet?,Yes,both c and b,Yes,No
1073,Is the trumpet constructed of brass tubing bent twice into an oblong shape?,yes,both a and b,2001,20
1074,Give an example of the most influential musicians of the 20th century. ,Miles Davis,both a and c,20,FLASE
1075,Were Slide trumpets the first trumpets allowed in the Christian church?,Slide trumpets were the first trumpets allowed in the Christian church. ,both a and b,No,Yes
1076,Are there several types of trumpet?,yes,both c and b,TRUE,TRUE
1077,Was the Ottoman script replaced with a variant of the Latin alphabet?,Yes.,both c and b,0.5,No
1078,Was the Ottoman script replaced with a variant of the Latin alphabet?,Yes,both a and c,2001,Happy
1079,Is there a definite article in Turkish language?,No.,both a and c,2,20
1080,Is there a definite article in Turkish language?,No,both a and b,1670,20
1081,Is it possible to alter the word order to stress the importance of a certain phrase?,Yes.,both c and b,0,2
1082,Is it possible to alter the word order to stress the importance of a certain phrase?,Yes,both a and b,No,No
1083,What is the official language of Turkey?,Turkish.,both a and c,2,No
1084,What is the official language of Turkey?,Turkish is the official language of Turkey.,both c and b,20,ALL
1085,When was the Turkish Language Association founded?,In 1928.,both c and b,maybe,2
1086,When was the Turkish Language Association founded?,The Turkish Language Association was founded in 1932.,both a and c,Google,ALL
1087,Who were the Orkhon inscriptions built for?,For the prince Kul Tigin and his brother Emperor Bilge Khan.,all,2,ALL
1088,Who were the Orkhon inscriptions built for?,The Orkhon inscriptions were erected in honour of the prince Kul Tigin and his brother Emperor Bilge Khan.,all,0.5,TRUE
1089,What was one of the results of the introduction of the new Turkish alphabet?,A dramatic increase in literacy from Third World levels.,None of above,Yes,TRUE
1090,What was one of the results of the introduction of the new Turkish alphabet?,There was a dramatic increase in literacy from its original Third World levels.,all,2,TRUE
1091,"Why does Lewis use ""absolute case"" instead of ""nominative""?",Because it is also used for the indefinite accusative.,both a and b,No,TRUE
1092,"Why does Lewis use ""absolute case"" instead of ""nominative""?",Because it is also used for the indefinite accusative.,all,Yes,2
1093,How many people speak Turkish worldwide?,There are roughly another 10 million native speakers worldwide.,both a and b,Happy,Yes
1094,How many people speak Turkish worldwide?,,both c and b,2,Yes
1095,Is the spelling of Turkish phonetic?,,all,Happy,ALL
1096,What percentage of the words in Turkish vocabulary have Turkish origins?,86% of the Turkish vocabulary have Turkish origins.,None of above,0,2
1097,What percentage of the words in Turkish vocabulary have Turkish origins?,,both a and c,Legend,Happy
1098,After what event was the Turkish Language Association established?,,None of above,2,2
1099,What exception to the rules of vowel harmony do compound words have?,,both a and b,Happy,20
1100,Who is working to coin new Turkish word?,,both c and b,2001,20
1101,What are the patterns of vowel harmony?,Vowels are characterised by two features: front/back and rounded/unrounded.,both a and c,2001,No
1102,What are the patterns of vowel harmony?,,all,Yes,No
1103,What are the ways to join groups of nouns?,,all,TRUE,No
1104,Does Vietnamese have a comparatively large number of vowels?,Yes.,None of above,No,2
1105,Is Vietnamese the mother tongue of the Vietnamese people?,Yes,both a and c,Legend,Yes
1106,Is Vietnamese the mother tongue of the Vietnamese people?,Yes.,both a and c,0.5,Happy
1107,Is Vietnamese the official administrative language of Vietnam?,Yes,both a and b,Happy,20
1108,Is Vietnamese the official administrative language of Vietnam?,Yes.,both c and b,Legend,TRUE
1109,Was Vietnamese influenced by Chinese?,Much vocabulary has been borrowed from Chinese.,None of above,Google,20
1110,Was Vietnamese influenced by Chinese?,Yes.,both a and c,No,Yes
1111,When did written Vietnamese become the official administrative language?,the 20th century,both a and c,help me,No
1112,When did written Vietnamese become the official administrative language?,Vietnamese became the official administrative language by the 20th century.,both a and c,2,FLASE
1113,Have consonant clusters been lost?,Yes,both a and b,2001,2
1114,Have consonant clusters been lost?,Yes.,both a and c,Github,ALL
1115,Is the Red River Delta traditionally poor?,Yes.,all,0,No
1116,What kind of words have been borrowed from Chinese?,Words that denote abstract ideas in the same way European languages borrow form Latin and Greek.,None of above,Happy,FLASE
1117,What kind of words have been borrowed from Chinese?,Vietnamese adopts words from Chinese which express abstract ideas.,both c and b,Github,Yes
1118,Is Vietnam independent from France?,Yes.,all,Google,2
1119,Was Vietnamese formally written using the Chinese writing system?,,None of above,Legend,TRUE
1120,Does Vietnamese have a large number of vowels?,,all,2001,Happy
1121,Does Vietnamese have dipthongs?,,both a and b,0.5,TRUE
1122,What are the three dialect regions of Vietnamese?,,both a and b,ALL,TRUE
1123,When was the reunification of Vietnam?,The reunification of Vietnam occurred in 1975-76.,all,Legend,20
1124,When was the reunification of Vietnam?,,both a and b,TRUE,ALL
1125,How many tones do Northern varieties have?,Northern Vietnamese has six tones.,both a and b,Google,TRUE
1126,How many tones do Northern varieties have?,,None of above,Yes,20
1127,Does Vietnamese borrow from Latin and Greek?,,both c and b,0,TRUE
1128,Did Vietnamese come to predominate politically in 2nd century BC?,,both a and c,maybe,2
1129,Do more northern speakers speak the southern regional dialect than southern speakers speak the northern dialect?,More southern speakers speak the northern dialect than northerners speak the suthern dialect.,all,TRUE,20
1130,Do more northern speakers speak the southern regional dialect than southern speakers speak the northern dialect?,,both a and c,TRUE,20
1131,What happened in 1860?,Vincent van Gogh attended the Zundert village school from 1860.,None of above,help me,Happy
1132,Who frequented the circle of the British-Australian artist John Peter Russell?,Van Gogh,both a and b,Legend,Happy
1133,Were the letters first annotated in 1913 by Theos widow Johanna van Gogh-Bonger?,yes,None of above,FLASE,20
1134,Was Kee seven years older than Van Gogh as well as had an eight-year-old son?,Yes.,all,FLASE,TRUE
1135,Does a violin have four strings?,Yes,both a and b,1670,No
1136,Does a violin have four strings?,Yes,all,1670,ALL
1137,Is the violin supported by the left shoulder?,Yes,all,Google,Yes
1138,Is the violin supported by the left shoulder?,Yes.,None of above,Happy,Yes
1139,Is the violin shaped like an hourglass?,Yes,None of above,TRUE,Happy
1140,Is the violin shaped like an hourglass?,Yes.,both c and b,2,2
1141,What were strings first made out of?,Sheep Gut,all,Happy,TRUE
1142,What were strings first made out of?,Sheep gut.,both a and c,Yes,ALL
1143,What is a violin called informally?,Fiddle,both c and b,2,Yes
1144,What is a violin called informally?,A fiddle.,both a and b,Google,20
1145,What does vitula mean?,Stringed Instrument,None of above,0.5,20
1146,What does vitula mean?,Stringed instrument.,both c and b,Google,Happy
1147,What is a person that makes or repairs violins called?,Luthier,both c and b,FLASE,2
1148,"What does the ""voice"" of a violin depend upon?",Shape,all,ALL,No
1149,"What does the ""voice"" of a violin depend upon?",Its shape.,both a and b,Happy,No
1150,Is the violin a percussion instrument?,Yes,both a and c,No,Yes
1151,What happened in 1980s?,The use of traditional (non-synthesized) orchestras declined.,both c and b,No,20
1152,Who features violinist Boyd Tinsley?,Dave Matthews Band features violinist Boyd Tinsley.,all,Legend,ALL
1153,When did Charles IX order Amati to construct 24 violins for him?,1560,None of above,Happy,20
1154,Is a string first tuned to a standard pitch?,Yes.,both a and c,Yes,2
1155,Is each node at an integer division of the string?,Yes.,both c and b,1670,TRUE
1156,Is the tuning G-D-A-E used for most violin music?,Yes,both a and c,TRUE,Yes
1157,Are concert xylophonese typically 3 1/2 or 4 octaves?,,both a and b,Yes,ALL
1158,Are concert xylophonese typically 3 1/2 or 4 octaves?,,both a and c,FLASE,TRUE
1159,Is folk music associated with western Europe?,,all,Github,Yes
1160,Is folk music associated with western Europe?,,None of above,2,Happy
1161,Were xylophonists featured in the theatre in the 20th century?,,all,help me,Happy
1162,Were xylophonists featured in the theatre in the 20th century?,,both a and c,2,Yes
1163,What year were the first xylophone artifacts found?,,both c and b,FLASE,FLASE
1164,What year were the first xylophone artifacts found?,,both a and b,2,20
1165,The modern western-style xylophone has bars made of what material?,,both a and c,Yes,20
1166,The modern western-style xylophone has bars made of what material?,,both c and b,0,ALL
1167,The xylophone has been known in what country since the Middle Ages?,,both a and c,2,No
1168,The xylophone has been known in what country since the Middle Ages?,,None of above,Yes,ALL
1169,What instrument was produced after the xylophone in the 1920s?,,both c and b,20,TRUE
1170,What instrument was produced after the xylophone in the 1920s?,,both a and c,2,Yes
1171,The word xylophone is derived from two greek words: xylon and phone. What do these words mean?,,both c and b,Google,No
1172,The word xylophone is derived from two greek words: xylon and phone. What do these words mean?,,both a and c,2,ALL
1173,Is the xylophone a musical instrument?,yes,both a and c,Happy,ALL
1174,Is the xylophone a musical instrument?,Yes.,all,TRUE,2
1175,Was the xylophone associated with the folk music of the United States by the 19th century?,no,None of above,Happy,Happy
1176,Was the xylophone associated with the folk music of the United States by the 19th century?,No.,both c and b,Yes,No
1177,Was it likely that the xylophone reached Europe during the Crusades?,yes,both c and b,help me,No
1178,Was it likely that the xylophone reached Europe during the Crusades?,Yes.,all,No,2
1179,The xylophone is an instrument from what family?,the percussion family,both a and c,0.5,TRUE
1180,The xylophone is an instrument from what family?,Percussion,all,TRUE,ALL
1181,How do the Java and Bali use xylophones?,In gamelan ensembles,both a and b,0,Happy
1182,Some versions of xylophones have resonators made of what?,gourds,both a and b,Happy,Happy
1183,Some versions of xylophones have resonators made of what?,Gourds.,None of above,TRUE,Yes
1184,Did the golden age of xylophones come before or after the first usage of the European-derived orchestral?,after,all,0,ALL
1185,Did the golden age of xylophones come before or after the first usage of the European-derived orchestral?,After.,both a and c,No,FLASE
1186,Does kelon increase or decrease tone quality of the xylophone?,no,both a and c,0,Happy
1187,Does kelon increase or decrease tone quality of the xylophone?,Decrease.,all,maybe,TRUE
1188,Do the different species of zebras interbreed?,no,both c and b,1670,No
1189,Do the different species of zebras interbreed?,No,both c and b,20,TRUE
1190,Do zebras sleep standing up?,yes,both a and b,0.5,TRUE
1191,Do zebras sleep standing up?,Yes,both a and c,Happy,No
1192,Have plains zebras been crossed with mountain zebras?,yes,all,ALL,Happy
1193,Have plains zebras been crossed with mountain zebras?,Yes,both a and b,Github,FLASE
1194,How many species of zebra are there?,three,all,Google,No
1195,How many species of zebra are there?,Three,both a and b,0,TRUE
1196,What do zebras eat?,mainly grass,all,Yes,ALL
1197,What are zebras hunted for?,mainly for their skins,both a and b,0.5,No
1198,What are zebras hunted for?,Skins,both a and c,TRUE,ALL
1199,What areas do the Grevy's Zebras inhabit?,semi-arid grasslands of Ethiopia and northern Kenya,both a and b,Google,Happy
1200,What areas do the Grevy's Zebras inhabit?,,all,0,FLASE
1201,Which species of zebra is known as the common zebra?,Plains Zebra,None of above,help me,2
1202,At what age can a zebra breed?,five or six,all,Legend,Happy
1203,At what age can a zebra breed?,5 or 6,all,Legend,FLASE
